,transition_completion,desired_negative_size,threshold_distance,accuracy
0,self_loop,500.0,1.0,0.9998869455343486
1,self_loop,500.0,2.0,0.9998869455343486
2,self_loop,500.0,3.0,0.9999002460597194
3,self_loop,500.0,4.0,0.9998736450089779
4,self_loop,500.0,5.0,0.9998802952716632
5,self_loop,1000.0,1.0,0.999946797898517
6,self_loop,1000.0,2.0,0.9998337434328656
7,self_loop,1000.0,3.0,0.9998270931701803
8,self_loop,1000.0,4.0,0.9998004921194387
9,self_loop,1000.0,5.0,0.9998137926448095
10,self_loop,1500.0,1.0,0.9998536942209217
11,self_loop,1500.0,2.0,0.9998004921194387
12,self_loop,1500.0,3.0,0.9998536942209217
13,self_loop,1500.0,4.0,0.999860344483607
14,self_loop,1500.0,5.0,0.999840393695551
